SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX,
1384,Black Gloss,NULL,NULL,34,8,8,50,100,NULL,NULL,NULL,0,AD,0,AD,
2346,Impasto,NULL,NULL,16,4,1,134,155,3.325,1,10,0,AD,0,AD,
2346,Painted Fineware,NULL,NULL,2,NULL,1,5,8,0.042,1,5,0,AD,0,AD,
2076,Impasto,NULL,NULL,38,11,4,454,557,6.62,1,8,0,AD,0,AD,
2076,Impasto,NULL,NULL,38,11,4,454,557,6.62,1,8,0,AD,0,AD,
2076,Impasto,NULL,NULL,38,11,4,454,557,6.62,1,8,0,AD,0,AD,
7,Commonware,NULL,NULL,3,1,1,21,26,NULL,NULL,NULL,0,AD,200,AD,
7,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,AD,500,AD,
2011,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,AD,400,AD,
141,Lamp,NULL,NULL,NULL,1,NULL,2,NULL,NULL,NULL,NULL,0,AD,100,AD,
291,African Cookware,NULL,NULL,1,NULL,NULL,3,4,0.011,1,2,0,AD,500,AD,
291,African Cookware,NULL,NULL,1,NULL,NULL,3,4,0.011,1,2,0,AD,300,AD,
1016,African Cookware,NULL,NULL,15,NULL,2,5,22,NULL,NULL,NULL,0,AD,200,AD,
1016,African Cookware,NULL,NULL,15,NULL,2,5,22,NULL,NULL,NULL,0,AD,150,AD,
1177,Lamp,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,AD,125,AD,
1205,Amphora,NULL,NULL,2,NULL,NULL,8,10,NULL,NULL,NULL,0,AD,40,AD,
1164,Thin Walled,NULL,NULL,NULL,NULL,1,12,13,NULL,NULL,NULL,0,AD,100,AD,
1164,Lamp,NULL,NULL,NULL,NULL,NULL,16,16,NULL,NULL,NULL,0,AD,70,AD,
1164,Terra Sigillata,NULL,NULL,4,NULL,2,6,12,NULL,NULL,NULL,0,AD,100,AD,
1146,Terra Sigillata,NULL,NULL,24,NULL,5,25,54,NULL,NULL,NULL,0,AD,20,AD,
1080,Commonware,NULL,NULL,56,2,1,155,214,NULL,NULL,NULL,0,AD,100,AD,
1218,Commonware,NULL,NULL,80,NULL,6,146,232,NULL,NULL,NULL,0,AD,100,AD,
1232,Commonware,NULL,NULL,16,3,7,53,89,NULL,NULL,NULL,0,AD,200,AD,
2171,African Cookware,NULL,NULL,2,NULL,NULL,6,8,NULL,NULL,NULL,0,AD,500,AD,
2177,Commonware,NULL,NULL,83,8,17,344,452,NULL,NULL,NULL,0,AD,500,AD,
2177,African Cookware,NULL,NULL,7,NULL,2,5,14,NULL,NULL,NULL,0,AD,500,AD,
453,Impasto Chiaro Sabbioso,NULL,NULL,NULL,1,1,NULL,2,NULL,NULL,NULL,0,AD,200,AD,
1342,African Red Slip,NULL,NULL,1,NULL,1,3,5,0.018,1,2,0,AD,800,AD,
1342,African Cookware,NULL,NULL,2,NULL,NULL,5,7,0.045,1,3,0,AD,500,AD,
584,Commonware,NULL,NULL,4,1,3,11,18,NULL,NULL,NULL,0,AD,100,AD,
2107,African Cookware,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,0,AD,500,AD,
2221,African Cookware,NULL,NULL,1,NULL,1,4,6,NULL,NULL,NULL,0,AD,500,AD,
2308,Commonware,NULL,NULL,3,NULL,1,10,14,NULL,NULL,NULL,0,AD,200,AD,
1136,Overpainted Black Gloss,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,AD,0,AD,
1208,Commonware,NULL,NULL,16,NULL,NULL,61,77,NULL,NULL,NULL,0,AD,0,AD,
1214,Impasto Chiaro Sabbioso,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,0,AD,0,AD,
4045,Amphora,NULL,NULL,NULL,NULL,1,NULL,1,0.21,NULL,10,0,AD,0,AD,
5095,Glazed Ceramic,NULL,NULL,1,NULL,NULL,NULL,1,0.122,10,10,0,AD,0,AD,
5107,Glazed Ceramic,NULL,NULL,NULL,NULL,1,1,2,0.034,5,5,0,AD,0,AD,
5391,Commonware,NULL,NULL,3,NULL,NULL,8,11,0.168,3,8,0,AD,200,AD,
5815,African Cookware,NULL,NULL,NULL,NULL,NULL,3,3,0.036,2,5,0,AD,500,AD,
5852,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,0.008,4,4,0,AD,500,AD,
5791,African Cookware,NULL,NULL,5,NULL,2,14,21,0.322,2,11,0,AD,500,AD,
5707,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,0.001,3,3,0,AD,500,AD,
1368,Commonware,NULL,NULL,131,10,33,663,836,10.428,2,10,1,AD,200,AD,
1368,Commonware,NULL,NULL,131,10,33,663,836,10.428,2,10,1,AD,150,AD,
1368,Commonware,NULL,NULL,131,10,33,663,836,10.428,2,10,1,AD,125,AD,
1401,Thin Walled,NULL,NULL,2,NULL,NULL,NULL,2,0.006,NULL,3,1,AD,100,AD,
3102,Commonware,NULL,NULL,10,1,4,31,46,0.762,2,10,1,AD,125,AD,
2094,Terra Sigillata,NULL,NULL,1,NULL,1,4,6,0.018,2,4,1,AD,30,AD,
1306,Commonware,NULL,NULL,16,2,4,54,76,1.14,1,10,1,AD,125,AD,
3118,Terra Sigillata,NULL,NULL,1,NULL,1,7,9,0.036,2,4,1,AD,50,AD,
1005,Internal Red Slip Ware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,AD,200,AD,
1039,Commonware,NULL,NULL,1,NULL,1,1,3,NULL,NULL,NULL,1,AD,200,AD,
